ion_analog,voltage_ion,pressure_ion,conv_analog,voltage_conv,pressure_conv,tags,delta_ion,delta_conv,log_pressure_ion,log_pressure_conv,delta_log_ion,delta_log_conv
252.0,1.25,3.09e-09,193,0.954,0.00101,"IG turn on, CG on",-2.2000000000000007e-10,0.0,-19.595094746036757,-6.897804948128969,-0.06877709847931612,0.0
515.0,2.54,1.23e-06,193,0.954,0.00101,"IG slow on, CG on",1.2269100000000001e-06,0.0,-13.608496388579947,-6.897804948128969,5.98659835745681,0.0
496.0,2.45,7.98e-07,193,0.954,0.00101,"IG slow on, CG on",-4.3200000000000006e-07,0.0,-14.041157239496602,-6.897804948128969,-0.43266085091665474,0.0
484.0,2.39,6.07e-07,194,0.959,0.00103,"IG slow on, CG on",-1.9100000000000006e-07,2.0000000000000052e-05,-14.314737045886913,-6.878196476740593,-0.27357980639031076,0.01960847138837618
477.0,2.36,5.18e-07,194,0.959,0.00103,"IG slow on, CG on",-8.900000000000002e-08,0.0,-14.473290594686928,-6.878196476740593,-0.1585535488000147,0.0
472.0,2.33,4.62e-07,193,0.954,0.00101,"IG slow on, CG on",-5.599999999999997e-08,-2.0000000000000052e-05,-14.587700945864672,-6.897804948128969,-0.11441035117774412,-0.01960847138837618
469.0,2.32,4.32e-07,193,0.954,0.00101,"IG slow on, CG on",-2.999999999999998e-08,0.0,-14.654840248702302,-6.897804948128969,-0.0671393028376297,0.0
466.0,2.3,4.03e-07,194,0.959,0.00103,"IG slow on, IG fail, CG on",-2.9000000000000008e-08,2.0000000000000052e-05,-14.724329274999729,-6.878196476740593,-0.06948902629742726,0.01960847138837618
256.0,1.26,3.39e-09,193,0.954,0.00101,"IG turn on, CG on",-3.9961e-07,-2.0000000000000052e-05,-19.502435915554052,-6.897804948128969,-4.7781066405543235,-0.01960847138837618
253.0,1.25,3.16e-09,194,0.959,0.00103,"IG fail, CG on",-2.3000000000000024e-10,2.0000000000000052e-05,-19.57269380934759,-6.878196476740593,-0.07025789379353853,0.01960847138837618
253.0,1.25,3.16e-09,194,0.959,0.00103,"IG turn on, CG on",0.0,0.0,-19.57269380934759,-6.878196476740593,0.0,0.0
469.0,2.32,4.32e-07,193,0.954,0.00101,"IG slow on, CG on",4.2884e-07,-2.0000000000000052e-05,-14.654840248702302,-6.897804948128969,4.917853560645289,-0.01960847138837618
467.0,2.31,4.12e-07,194,0.959,0.00103,"IG slow on, CG on",-2.000000000000002e-08,2.0000000000000052e-05,-14.702242487596886,-6.878196476740593,-0.04740223889458406,0.01960847138837618
462.0,2.28,3.68e-07,194,0.959,0.00103,"IG slow on, CG on",-4.399999999999997e-08,0.0,-14.815182898777481,-6.878196476740593,-0.11294041118059539,0.0
459.0,2.27,3.44e-07,194,0.959,0.00103,"IG slow on, CG on",-2.4000000000000003e-08,0.0,-14.882624179573012,-6.878196476740593,-0.06744128079553136,0.0
457.0,2.26,3.28e-07,194,0.959,0.00103,"IG on, CG on",-1.5999999999999984e-08,0.0,-14.930252228562267,-6.878196476740593,-0.04762804898925488,0.0
456.0,2.25,3.21e-07,194,0.959,0.00103,"IG on, CG on",-7.0000000000000494e-09,0.0,-14.951824713816395,-6.878196476740593,-0.02157248525412747,0.0
454.0,2.24,3.07e-07,193,0.954,0.00101,"IG off, IG fail, CG on",-1.3999999999999993e-08,-2.0000000000000052e-05,-14.996418089359214,-6.897804948128969,-0.04459337554281895,-0.01960847138837618
254.0,1.26,3.24e-09,194,0.959,0.00103,"IG turn on, CG on",-3.0375999999999996e-07,2.0000000000000052e-05,-19.547692507142173,-6.878196476740593,-4.55127441778296,0.01960847138837618
252.0,1.25,3.09e-09,194,0.959,0.00103,"IG turn on, CG on",-1.500000000000001e-10,0.0,-19.595094746036757,-6.878196476740593,-0.04740223889458406,0.0
