datetime,voltage_ion,pressure_ion,voltage_conv,pressure_conv,tags,IC_unplugged,CC_unplugged,tag_list,tag_IG_on,tag_IG_off,tag_IG_fail,tag_IG_turn_on,tag_IG_turn_off,tag_IG_slow_on,tag_CG_on,tag_CG_off,tag_CG_turn_off,tag_CG_turn_on,tag_gate_manipulation,tag_RP_on,tag_chamber_open,tag_venting,IG_state,CG_state,CH_state,anomaly_if_ion,score_if_raw_ion,score_if_ion,anomaly_if_conv,score_if_raw_conv,score_if_conv,anomaly_if,score_if_raw,score_if
2025-07-06 02:38:36,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
2025-07-06 02:39:06,2.18,2.28e-07,0.959,0.00103,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.20633100693148065,-0.20633100693148065,1,0.20633100693148065,-0.20633100693148065
2025-07-06 02:39:36,2.17,2.23e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24661696860790722,-0.24661696860790722,1,0.24851725622686638,-0.24851725622686638,1,0.24661696860790722,-0.24661696860790722
2025-07-06 02:40:06,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
2025-07-06 02:46:06,2.18,2.28e-07,0.959,0.00103,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.20633100693148065,-0.20633100693148065,1,0.20633100693148065,-0.20633100693148065
2025-07-06 02:46:36,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
2025-07-06 02:48:06,2.18,2.33e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24602795578901548,-0.24602795578901548,1,0.24851725622686638,-0.24851725622686638,1,0.24602795578901548,-0.24602795578901548
2025-07-06 02:48:36,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
2025-07-06 02:51:06,2.18,2.28e-07,0.959,0.00103,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.20633100693148065,-0.20633100693148065,1,0.20633100693148065,-0.20633100693148065
2025-07-06 02:51:36,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
2025-07-06 02:56:06,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
2025-07-06 02:59:06,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
2025-07-06 03:00:36,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
2025-07-06 03:02:06,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
2025-07-06 03:02:36,2.18,2.28e-07,0.959,0.00103,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.20633100693148065,-0.20633100693148065,1,0.20633100693148065,-0.20633100693148065
2025-07-06 03:04:06,2.18,2.28e-07,0.959,0.00103,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.20633100693148065,-0.20633100693148065,1,0.20633100693148065,-0.20633100693148065
2025-07-06 03:06:06,2.18,2.28e-07,0.959,0.00103,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.20633100693148065,-0.20633100693148065,1,0.20633100693148065,-0.20633100693148065
2025-07-06 03:06:36,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
2025-07-06 03:07:06,2.18,2.28e-07,0.959,0.00103,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.20633100693148065,-0.20633100693148065,1,0.20633100693148065,-0.20633100693148065
2025-07-06 03:07:36,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
2025-07-06 03:11:36,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
2025-07-06 03:12:06,2.18,2.28e-07,0.949,0.000983,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.153806781844674,-0.153806781844674,1,0.153806781844674,-0.153806781844674
